pumpState,balloonPressure,jvPressure,raPressure,auxPressure,cycleVolume,totalInfusedVolume
 idle,293.21,12.54,-0.33,1.46,4.439,12.014000000000001
 idle,292.73,12.45,-1.13,1.46,4.439,12.014000000000001
 idle,292.37,12.56,-1.42,1.46,4.439,12.014000000000001
 idle,292.24,12.88,-1.01,1.46,4.439,12.014000000000001
 idle,292.41,13.28,-0.02,1.46,4.439,12.05
 withdrawing,292.85,13.65,1.23,1.46,4.439,12.048
 withdrawing,293.03,13.97,2.36,1.46,4.439,12.024000000000001
 withdrawing,291.76,14.26,3.17,1.46,4.439,11.963
 withdrawing,288.14,14.56,3.78,1.46,4.439,11.902999999999999
 withdrawing,281.29,14.87,4.33,1.46,4.439,11.842
 withdrawing,270.83,15.18,4.81,1.46,4.439,11.842
 withdrawing,257.09,15.47,5.23,1.46,4.439,11.782
 withdrawing,241.31,15.69,5.54,1.46,4.439,11.720999999999998
 withdrawing,224.55,15.81,5.75,1.46,4.439,11.661
 withdrawing,207.94,15.84,5.79,1.46,4.439,11.6
 withdrawing,192.14,15.78,5.6,1.46,4.439,11.6
 withdrawing,177.5,15.59,5.13,1.46,4.439,11.54
 withdrawing,164.2,15.31,4.36,1.46,4.439,11.479000000000001
 withdrawing,152.25,14.99,3.4,1.46,4.439,11.419
 withdrawing,141.7,14.69,2.43,1.46,4.439,11.357999999999999
 withdrawing,132.49,14.38,1.5,1.46,4.439,11.298
 withdrawing,124.49,14.13,0.48,1.47,4.439,11.298
 withdrawing,117.42,13.96,-0.53,1.47,4.439,11.237
 withdrawing,111.12,13.86,-1.46,1.47,4.439,11.177
 withdrawing,105.37,13.8,-2.27,1.46,4.439,11.116
 withdrawing,100.07,13.86,-2.77,1.47,4.439,11.056
 withdrawing,95.39,14.14,-2.57,1.47,4.439,10.995
 withdrawing,91.48,14.59,-1.71,1.47,4.439,10.995
 withdrawing,88.21,15.08,-0.48,1.47,4.439,10.935
 withdrawing,85.43,15.56,0.89,1.47,4.439,10.874
 withdrawing,82.97,15.97,2.18,1.47,4.439,10.814
 withdrawing,80.53,16.23,3.13,1.47,4.439,10.753
 withdrawing,77.83,16.37,3.79,1.46,4.439,10.693
 withdrawing,74.92,16.46,4.31,1.46,4.439,10.693
 withdrawing,71.89,16.53,4.72,1.46,4.439,10.632
 withdrawing,68.8,16.62,5.09,1.46,4.439,10.572000000000001
 withdrawing,65.7,16.68,5.44,1.46,4.439,10.511
 withdrawing,62.59,16.68,5.72,1.46,4.439,10.45
 withdrawing,59.49,16.62,5.86,1.46,4.439,10.45
 withdrawing,56.47,16.52,5.84,1.46,4.439,10.39
 withdrawing,53.77,16.37,5.61,1.46,4.439,10.329
 withdrawing,51.4,16.14,5.18,1.46,4.439,10.269
 withdrawing,49.21,15.77,4.55,1.46,4.439,10.208
 withdrawing,47.09,15.28,3.66,1.46,4.439,10.148
 withdrawing,44.91,14.7,2.61,1.46,4.439,10.148
 withdrawing,42.31,14.09,1.53,1.46,4.439,10.087
 withdrawing,39.23,13.54,0.48,1.46,4.439,10.027000000000001
 withdrawing,35.81,13.11,-0.39,1.46,4.439,9.966000000000001
 withdrawing,32.13,12.78,-1.08,1.46,4.439,9.905
 withdrawing,28.27,12.56,-1.74,1.46,4.439,9.844
 withdrawing,24.37,12.47,-2.18,1.46,4.439,9.844
 withdrawing,20.48,12.48,-2.2,1.47,4.439,9.783999999999999
 withdrawing,16.67,12.6,-1.79,1.47,4.439,9.722999999999999
 withdrawing,13.02,12.86,-1.0,1.47,4.439,9.661
 withdrawing,9.6,13.14,0.16,1.47,4.439,9.601
 withdrawing,6.46,13.4,1.45,1.47,4.439,9.601
 withdrawing,3.62,13.62,2.53,1.47,4.439,9.54
 withdrawing,1.05,13.78,3.35,1.46,4.439,9.479
 withdrawing,-1.28,13.92,3.93,1.46,4.439,9.417
 withdrawing,-3.44,14.09,4.38,1.46,4.439,9.356
 withdrawing,-5.49,14.27,4.8,1.46,4.439,9.296
 withdrawing,-7.45,14.45,5.2,1.46,4.439,9.296
 withdrawing,-9.35,14.59,5.52,1.46,4.439,9.235
 withdrawing,-11.2,14.68,5.74,1.46,4.439,9.173
 withdrawing,-13.02,14.7,5.92,1.46,4.439,9.112
 withdrawing,-14.81,14.67,6.0,1.46,4.439,9.051
 withdrawing,-16.59,14.57,5.89,1.46,4.439,9.051
 withdrawing,-18.38,14.35,5.6,1.46,4.439,8.99
 withdrawing,-20.21,13.97,5.15,1.46,4.439,8.929
 withdrawing,-22.09,13.44,4.49,1.46,4.439,8.868
 withdrawing,-24.02,12.76,3.65,1.46,4.439,8.807
 withdrawing,-25.99,11.95,2.78,1.46,4.439,8.746
 withdrawing,-28,11.14,2.01,1.46,4.439,8.746
 withdrawing,-30.01,10.46,1.52,1.46,4.439,8.685
 withdrawing,-32.09,9.99,1.44,1.46,4.439,8.624
 withdrawing,-34.41,9.63,1.66,1.46,4.439,8.562999999999999
 withdrawing,-37.18,9.38,1.85,1.46,4.439,8.502
 withdrawing,-40.49,9.28,1.97,1.46,4.439,8.441
 withdrawing,-44.39,9.3,2.23,1.46,4.439,8.441
 withdrawing,-48.87,9.39,2.55,1.46,4.439,8.38
 withdrawing,-53.76,9.57,2.9,1.46,4.439,8.318999999999999
 withdrawing,-58.89,9.85,3.54,1.46,4.439,8.258
 withdrawing,-64.16,10.16,4.4,1.46,4.439,8.197000000000001
 withdrawing,-69.55,10.44,5.09,1.46,4.439,8.197000000000001
 withdrawing,-75.03,10.67,5.52,1.46,4.439,8.136000000000001
 withdrawing,-80.57,10.87,5.85,1.46,4.439,8.075
 withdrawing,-86.14,11.04,6.1,1.46,4.439,8.014
 withdrawing,-91.72,11.18,6.25,1.46,4.439,7.952999999999999
 withdrawing,-97.26,11.29,6.37,1.46,4.439,7.892
 withdrawing,-102.74,11.37,6.49,1.46,4.439,7.892
 withdrawing,-108.14,11.44,6.57,1.46,4.439,7.831
 withdrawing,-113.48,11.44,6.62,1.46,4.439,7.77
 withdrawing,-118.8,11.34,6.59,1.46,4.439,7.709
 withdrawing,-124.12,11.11,6.43,1.46,4.439,7.648
 idle,-129.48,10.73,6.1,1.46,4.439,7.611000000000001
 idle,-134.39,10.19,5.62,1.46,4.439,7.611000000000001
 idle,-137.76,9.6,5.12,1.46,4.439,7.611000000000001
 idle,-138.81,9.08,4.74,1.46,4.439,7.611000000000001
 idle,-137,8.67,4.59,1.46,4.439,7.611000000000001
 idle,-132.08,8.33,4.6,1.46,4.439,7.611000000000001
 idle,-124.39,7.96,4.52,1.46,4.439,7.611000000000001
 idle,-115.07,7.53,4.22,1.46,4.439,7.611000000000001
 idle,-104.98,7.16,3.9,1.46,4.439,7.611000000000001
 idle,-94.74,6.91,3.72,1.46,4.439,7.611000000000001
 idle,-84.75,6.83,3.65,1.46,4.439,7.611000000000001
 idle,-75.21,7.03,3.86,1.46,4.439,7.611000000000001
 idle,-66.23,7.49,4.41,1.46,4.439,7.611000000000001
 idle,-57.91,7.99,5.0,1.46,4.439,7.611000000000001
 idle,-50.32,8.39,5.43,1.46,4.439,7.611000000000001
 idle,-43.49,8.72,5.74,1.46,4.439,7.611000000000001
 idle,-37.41,8.98,5.97,1.46,4.439,7.611000000000001
 idle,-32.04,9.17,6.18,1.46,4.439,7.611000000000001
 idle,-27.3,9.32,6.39,1.46,4.439,7.611000000000001
 idle,-23.14,9.43,6.53,1.46,4.439,7.611000000000001
 idle,-19.48,9.5,6.59,1.46,4.439,7.611000000000001
 idle,-16.24,9.54,6.62,1.46,4.439,7.611000000000001
 idle,-13.37,9.58,6.63,1.46,4.439,7.611000000000001
 idle,-10.83,9.61,6.62,1.46,4.439,7.611000000000001
 idle,-8.56,9.63,6.62,1.46,4.439,7.611000000000001
 idle,-6.53,9.61,6.62,1.46,4.439,7.611000000000001
 idle,-4.72,9.51,6.56,1.46,4.439,7.611000000000001
 idle,-3.12,9.35,6.41,1.46,4.439,7.611000000000001
 idle,-1.7,9.12,6.19,1.46,4.439,7.611000000000001
